labels,confusion_matrix_normalized,curves/Precision-Recall(B)_table,train/dfl_loss,metrics/mAP50-95(B),train_batch0,train_batch6571,confusion_matrix,PR_curve,lr/pg1,metrics/recall(B),model/speed_PyTorch(ms),curves/Precision-Confidence(B)_table,curves/Recall-Confidence(B)_table,P_curve,train_batch6572,val_batch0_pred,val/dfl_loss,lr/pg0,results,train_batch6570,_step,train/cls_loss,train/box_loss,metrics/mAP50(B),val_batch2_labels,lr/pg2,val_batch1_pred,train_batch1,val_batch0_labels,val/cls_loss,val/box_loss,_runtime,R_curve,model/parameters,model/GFLOPs,F1_curve,train_batch2,val_batch2_pred,metrics/precision(B),val_batch1_labels,curves/F1-Confidence(B)_table,_timestamp,variant,seed,run_name,epoch
,,,1.56453,0.40942,,,,,0.00016138917321054225,0.66528,,,,,,,2.34929,0.00016138917321054225,,,63,0.7622,0.97338,0.7005,,0.00016138917321054225,,,,1.19559,1.56373,3085.526941105,,,,,,,0.72437,,,1780002708.033061,p2,1337,p2_seed1337,63
,,,1.56335,0.39719,,,,,0.0001542058970678918,0.65911,,,,,,,2.35487,0.0001542058970678918,,,64,0.75574,0.97114,0.68751,,0.0001542058970678918,,,,1.22507,1.55281,3133.173433639,,,,,,,0.70909,,,1780002755.7727551,p2,1337,p2_seed1337,64
,,,1.54788,0.41644,,,,,0.0001471196253376445,0.66162,,,,,,,2.34074,0.0001471196253376445,,,65,0.74635,0.94332,0.70241,,0.0001471196253376445,,,,1.18865,1.55772,3179.71022338,,,,,,,0.72483,,,1780002802.3741393,p2,1337,p2_seed1337,65
,,,1.5528,0.40987,,,,,0.0001401373513144622,0.64731,,,,,,,2.38518,0.0001401373513144622,,,66,0.72942,0.95028,0.69469,,0.0001401373513144622,,,,1.20492,1.58553,3226.766984139,,,,,,,0.74649,,,1780002848.9104905,p2,1337,p2_seed1337,66
,,,1.52836,0.41454,,,,,0.00013326596565982546,0.68655,,,,,,,2.37666,0.00013326596565982546,,,67,0.72852,0.93683,0.69883,,0.00013326596565982546,,,,1.18674,1.56549,3275.300615399,,,,,,,0.69926,,,1780002897.8401806,p2,1337,p2_seed1337,67
,,,1.53808,0.41494,,,,,0.0001265122496017831,0.67175,,,,,,,2.39704,0.0001265122496017831,,,68,0.72622,0.93756,0.7025,,0.0001265122496017831,,,,1.20613,1.56207,3321.925389872,,,,,,,0.7186,,,1780002944.5355392,p2,1337,p2_seed1337,68
,,,1.52084,0.4289,,,,,0.00011988286824269823,0.65505,,,,,,,2.38302,0.00011988286824269823,,,69,0.72432,0.91242,0.71224,,0.00011988286824269823,,,,1.19659,1.57193,3368.563709784,,,,,,,0.73154,,,1780002991.1600316,p2,1337,p2_seed1337,69
,,,1.50827,0.41199,,,,,0.00011338436398159763,0.66615,,,,,,,2.43885,0.00011338436398159763,,,70,0.70138,0.9033,0.6986,,0.00011338436398159763,,,,1.19798,1.58977,3415.402776475,,,,,,,0.72845,,,1780003037.7670019,p2,1337,p2_seed1337,70
,,,1.49624,0.42265,,,,,0.00010702315005761298,0.69252,,,,,,,2.42466,0.00010702315005761298,,,71,0.69592,0.88999,0.71023,,0.00010702315005761298,,,,1.16491,1.57147,3462.003730923,,,,,,,0.71221,,,1780003084.5755277,p2,1337,p2_seed1337,71
,,,1.49058,0.42003,,,,,0.0001008055042208883,0.68098,,,,,,,2.42401,0.0001008055042208883,,,72,0.68179,0.88841,0.70992,,0.0001008055042208883,,,,1.17533,1.57763,3508.595174106,,,,,,,0.72414,,,1780003131.1994607,p2,1337,p2_seed1337,72
,,,1.47472,0.41874,,,,,9.473756253719929e-05,0.66653,,,,,,,2.42979,9.473756253719929e-05,,,73,0.68221,0.87303,0.69739,,9.473756253719929e-05,,,,1.18781,1.57839,3557.868849801,,,,,,,0.71443,,,1780003177.8123827,p2,1337,p2_seed1337,73
,,,1.49183,0.41791,,,,,8.882531333239618e-05,0.6557,,,,,,,2.41681,8.882531333239618e-05,,,74,0.68758,0.88656,0.70172,,8.882531333239618e-05,,,,1.18722,1.56696,3604.422055353,,,,,,,0.75244,,,1780003227.0735059,p2,1337,p2_seed1337,74
,,,1.46411,0.40997,,,,,8.307459128264955e-05,0.6592,,,,,,,2.43159,8.307459128264955e-05,,,75,0.66076,0.86939,0.69622,,8.307459128264955e-05,,,,1.20493,1.58295,3651.926609654,,,,,,,0.73827,,,1780003273.758986,p2,1337,p2_seed1337,75
,,,1.45401,0.4177,,,,,7.749107165632952e-05,0.66075,,,,,,,2.45404,7.749107165632952e-05,,,76,0.65805,0.85955,0.70078,,7.749107165632952e-05,,,,1.20955,1.58095,3699.315800452,,,,,,,0.74275,,,1780003321.3364587,p2,1337,p2_seed1337,76
,,,1.4477,0.4187,,,,,7.208026471320073e-05,0.65422,,,,,,,2.45474,7.208026471320073e-05,,,77,0.64481,0.84191,0.69892,,7.208026471320073e-05,,,,1.23005,1.58337,3746.969492786,,,,,,,0.74399,,,1780003368.642793,p2,1337,p2_seed1337,77
,,,1.44824,0.42065,,,,,6.684751026646124e-05,0.6549,,,,,,,2.4886,6.684751026646124e-05,,,78,0.63916,0.84163,0.7026,,6.684751026646124e-05,,,,1.21196,1.59576,3794.103142066,,,,,,,0.74786,,,1780003416.2200217,p2,1337,p2_seed1337,78
,,,1.44145,0.41434,,,,,6.179797241299223e-05,0.67659,,,,,,,2.49038,6.179797241299223e-05,,,79,0.64129,0.83457,0.69641,,6.179797241299223e-05,,,,1.22982,1.59911,3841.299823611,,,,,,,0.72068,,,1780003463.5135858,p2,1337,p2_seed1337,79
,,,1.42884,0.42069,,,,,5.693663443701663e-05,0.66125,,,,,,,2.49463,5.693663443701663e-05,,,80,0.62187,0.81889,0.69939,,5.693663443701663e-05,,,,1.22838,1.59668,3890.560921433,,,,,,,0.74471,,,1780003512.678932,p2,1337,p2_seed1337,80
,,,1.43294,0.41321,,,,,5.22682938922005e-05,0.66833,,,,,,,2.47765,5.22682938922005e-05,,,81,0.63691,0.82623,0.69511,,5.22682938922005e-05,,,,1.21872,1.59161,3938.037281152,,,,,,,0.71997,,,1780003559.9888737,p2,1337,p2_seed1337,81
,,,1.43617,0.42102,,,,,4.7797557867045985e-05,0.6513,,,,,,,2.49688,4.7797557867045985e-05,,,82,0.62935,0.82454,0.69939,,4.7797557867045985e-05,,,,1.2297,1.60249,3985.374101207,,,,,,,0.73471,,,1780003607.418169,p2,1337,p2_seed1337,82
