results,curves/Precision-Recall(B)_table,_step,PR_curve,_runtime,train_batch3330,val_batch1_labels,val_batch0_pred,lr/pg2,metrics/recall(B),train/dfl_loss,P_curve,val/box_loss,train_batch0,curves/F1-Confidence(B)_table,val_batch2_labels,train_batch3331,train/box_loss,metrics/mAP50(B),model/GFLOPs,val/dfl_loss,model/speed_PyTorch(ms),lr/pg1,labels,R_curve,model/parameters,curves/Precision-Confidence(B)_table,metrics/mAP50-95(B),train_batch1,F1_curve,val/cls_loss,train_batch3332,metrics/precision(B),curves/Recall-Confidence(B)_table,train_batch2,val_batch0_labels,confusion_matrix_normalized,train/cls_loss,confusion_matrix,val_batch1_pred,lr/pg0,val_batch2_pred,_timestamp,variant,seed,run_name,epoch
,,48,,730.568698508,,,,0.00027579180754633227,0.58763,1.75984,,1.61248,,,,,1.50669,0.64107,,1.95263,,0.00027579180754633227,,,,,0.35422,,,1.48527,,0.66434,,,,,1.46542,,,0.00027579180754633227,,1780036761.7471921,distill,2024,distill_seed2024,48
,,49,,742.973576825,,,,0.0002680406535835051,0.58376,1.75642,,1.62392,,,,,1.49723,0.63951,,1.9371,,0.0002680406535835051,,,,,0.3541,,,1.47429,,0.68809,,,,,1.47091,,,0.0002680406535835051,,1780036774.022518,distill,2024,distill_seed2024,49
,,50,,759.141983463,,,,0.0002602741628718368,0.58234,1.75688,,1.63486,,,,,1.49904,0.63865,,1.96956,,0.0002602741628718368,,,,,0.34864,,,1.45981,,0.6787,,,,,1.43979,,,0.0002602741628718368,,1780036787.4486392,distill,2024,distill_seed2024,50
,,51,,771.512018331,,,,0.00025250000000000007,0.60196,1.7446,,1.63936,,,,,1.48173,0.64289,,1.96597,,0.00025250000000000007,,,,,0.35638,,,1.45822,,0.64975,,,,,1.45415,,,0.00025250000000000007,,1780036802.7297776,distill,2024,distill_seed2024,51
,,52,,784.310166481,,,,0.0002447258371281633,0.55052,1.74171,,1.63355,,,,,1.48875,0.63081,,1.9356,,0.0002447258371281633,,,,,0.34756,,,1.51954,,0.69674,,,,,1.446,,,0.0002447258371281633,,1780036815.153398,distill,2024,distill_seed2024,52
,,53,,802.246380949,,,,0.0002369593464164949,0.59674,1.73154,,1.59132,,,,,1.47942,0.64826,,1.92178,,0.0002369593464164949,,,,,0.36034,,,1.46081,,0.66106,,,,,1.43151,,,0.0002369593464164949,,1780036828.2504663,distill,2024,distill_seed2024,53
,,54,,815.03196962,,,,0.0002292081924536677,0.60187,1.73924,,1.62705,,,,,1.49229,0.63989,,1.9438,,0.0002292081924536677,,,,,0.35443,,,1.46594,,0.65345,,,,,1.43484,,,0.0002292081924536677,,1780036845.9732928,distill,2024,distill_seed2024,54
,,55,,828.28175436,,,,0.0002214800246928347,0.58592,1.73593,,1.59513,,,,,1.47265,0.63895,,1.91957,,0.0002214800246928347,,,,,0.35202,,,1.44626,,0.67198,,,,,1.42756,,,0.0002214800246928347,,1780036859.201544,distill,2024,distill_seed2024,55
,,56,,843.608403939,,,,0.0002137824699025429,0.60385,1.73038,,1.61005,,,,,1.47571,0.65052,,1.94516,,0.0002137824699025429,,,,,0.36283,,,1.4284,,0.68292,,,,,1.41711,,,0.0002137824699025429,,1780036871.9883301,distill,2024,distill_seed2024,56
,,57,,856.505051271,,,,0.0002061231246400332,0.60481,1.7264,,1.59384,,,,,1.46676,0.65442,,1.92592,,0.0002061231246400332,,,,,0.36472,,,1.43255,,0.6798,,,,,1.41221,,,0.0002061231246400332,,1780036887.3969522,distill,2024,distill_seed2024,57
,,58,,870.8683462,,,,0.00019850954775435582,0.59231,1.70872,,1.58355,,,,,1.45414,0.65581,,1.90672,,0.00019850954775435582,,,,,0.36738,,,1.42322,,0.69778,,,,,1.38202,,,0.00019850954775435582,,1780036901.952131,distill,2024,distill_seed2024,58
,,59,,885.267184828,,,,0.00019094925292669846,0.60009,1.69805,,1.57907,,,,,1.4453,0.65422,,1.90242,,0.00019094925292669846,,,,,0.36765,,,1.44102,,0.6914,,,,,1.3952,,,0.00019094925292669846,,1780036916.2251585,distill,2024,distill_seed2024,59
,,60,,898.06138109,,,,0.0001834497012552908,0.61127,1.71747,,1.60473,,,,,1.45525,0.66402,,1.93164,,0.0001834497012552908,,,,,0.37374,,,1.38578,,0.67462,,,,,1.38242,,,0.0001834497012552908,,1780036929.1307638,distill,2024,distill_seed2024,60
,,61,,910.679439052,,,,0.00017601829389220065,0.59535,1.70022,,1.5952,,,,,1.41269,0.66188,,1.92544,,0.00017601829389220065,,,,,0.36777,,,1.41528,,0.71434,,,,,1.35127,,,0.00017601829389220065,,1780036941.7333384,distill,2024,distill_seed2024,61
,,62,,923.147183524,,,,0.00016866236473929043,0.60174,1.71486,,1.58045,,,,,1.44604,0.65268,,1.90356,,0.00016866236473929043,,,,,0.36483,,,1.39257,,0.69357,,,,,1.37871,,,0.00016866236473929043,,1780036954.0302985,distill,2024,distill_seed2024,62
,,63,,937.044087389,,,,0.00016138917321054225,0.60642,1.69561,,1.57591,,,,,1.43977,0.66645,,1.90382,,0.00016138917321054225,,,,,0.37261,,,1.38045,,0.70054,,,,,1.35875,,,0.00016138917321054225,,1780036968.2113607,distill,2024,distill_seed2024,63
,,64,,949.516657297,,,,0.0001542058970678918,0.60702,1.70273,,1.59264,,,,,1.44696,0.66689,,1.91125,,0.0001542058970678918,,,,,0.37663,,,1.40381,,0.69973,,,,,1.35379,,,0.0001542058970678918,,1780036980.5195272,distill,2024,distill_seed2024,64
,,65,,962.722895036,,,,0.0001471196253376445,0.61672,1.67782,,1.56094,,,,,1.41974,0.66911,,1.89069,,0.0001471196253376445,,,,,0.37929,,,1.37225,,0.6903,,,,,1.32818,,,0.0001471196253376445,,1780036993.3127067,distill,2024,distill_seed2024,65
,,66,,975.003644623,,,,0.0001401373513144622,0.61691,1.67341,,1.57976,,,,,1.40906,0.66849,,1.91751,,0.0001401373513144622,,,,,0.37256,,,1.38055,,0.689,,,,,1.30233,,,0.0001401373513144622,,1780037006.0264952,distill,2024,distill_seed2024,66
,,67,,987.247353272,,,,0.00013326596565982546,0.62296,1.68408,,1.58442,,,,,1.42399,0.66977,,1.90157,,0.00013326596565982546,,,,,0.37996,,,1.36502,,0.68548,,,,,1.29801,,,0.00013326596565982546,,1780037018.225791,distill,2024,distill_seed2024,67
,,68,,999.849666221,,,,0.0001265122496017831,0.6042,1.67874,,1.58094,,,,,1.41711,0.67587,,1.90172,,0.0001265122496017831,,,,,0.38024,,,1.34968,,0.72034,,,,,1.31544,,,0.0001265122496017831,,1780037030.7214296,distill,2024,distill_seed2024,68
,,69,,1014.098275527,,,,0.00011988286824269823,0.60124,1.68148,,1.58501,,,,,1.40432,0.66838,,1.9078,,0.00011988286824269823,,,,,0.37519,,,1.36212,,0.70704,,,,,1.3015,,,0.00011988286824269823,,1780037045.2119875,distill,2024,distill_seed2024,69
,,70,,1026.543992457,,,,0.00011338436398159763,0.62392,1.66979,,1.55985,,,,,1.39539,0.67799,,1.88436,,0.00011338436398159763,,,,,0.38491,,,1.35322,,0.69977,,,,,1.3052,,,0.00011338436398159763,,1780037057.517233,distill,2024,distill_seed2024,70
,,71,,1039.078236721,,,,0.00010702315005761298,0.60252,1.66939,,1.55996,,,,,1.39089,0.67637,,1.88498,,0.00010702315005761298,,,,,0.38321,,,1.34798,,0.71957,,,,,1.29257,,,0.00010702315005761298,,1780037070.3036017,distill,2024,distill_seed2024,71
,,72,,1052.625833492,,,,0.0001008055042208883,0.60746,1.66546,,1.57719,,,,,1.40085,0.6653,,1.89614,,0.0001008055042208883,,,,,0.37267,,,1.36972,,0.72004,,,,,1.28226,,,0.0001008055042208883,,1780037083.644824,distill,2024,distill_seed2024,72
,,73,,1065.444076688,,,,9.473756253719929e-05,0.64226,1.6536,,1.56183,,,,,1.38729,0.6831,,1.88619,,9.473756253719929e-05,,,,,0.38786,,,1.32873,,0.6881,,,,,1.27902,,,9.473756253719929e-05,,1780037096.2210596,distill,2024,distill_seed2024,73
,,74,,1077.707405092,,,,8.882531333239618e-05,0.60901,1.65612,,1.56081,,,,,1.38616,0.66285,,1.89242,,8.882531333239618e-05,,,,,0.37899,,,1.36052,,0.71405,,,,,1.27218,,,8.882531333239618e-05,,1780037108.7608886,distill,2024,distill_seed2024,74
,,75,,1089.872698314,,,,8.307459128264955e-05,0.61111,1.65257,,1.57216,,,,,1.38202,0.67042,,1.90235,,8.307459128264955e-05,,,,,0.38028,,,1.33827,,0.71379,,,,,1.26451,,,8.307459128264955e-05,,1780037121.0171278,distill,2024,distill_seed2024,75
,,76,,1104.822666762,,,,7.749107165632952e-05,0.61132,1.65141,,1.56157,,,,,1.37805,0.68058,,1.8934,,7.749107165632952e-05,,,,,0.38249,,,1.36808,,0.73081,,,,,1.26694,,,7.749107165632952e-05,,1780037135.5627398,distill,2024,distill_seed2024,76
,,77,,1117.079791395,,,,7.208026471320073e-05,0.61771,1.65929,,1.5663,,,,,1.37674,0.67831,,1.89287,,7.208026471320073e-05,,,,,0.38467,,,1.33626,,0.70543,,,,,1.26895,,,7.208026471320073e-05,,1780037148.176829,distill,2024,distill_seed2024,77
,,78,,1129.486074718,,,,6.684751026646124e-05,0.61055,1.65181,,1.56441,,,,,1.38022,0.68194,,1.89363,,6.684751026646124e-05,,,,,0.38712,,,1.3225,,0.73438,,,,,1.25642,,,6.684751026646124e-05,,1780037160.517639,distill,2024,distill_seed2024,78
