train_batch0,_step,confusion_matrix,metrics/mAP50(B),_timestamp,curves/F1-Confidence(B)_table,train_batch2,PR_curve,val_batch0_labels,val/cls_loss,metrics/precision(B),val_batch0_pred,P_curve,train_batch1,train/dfl_loss,confusion_matrix_normalized,model/parameters,labels,F1_curve,_runtime,model/GFLOPs,train/cls_loss,lr/pg0,val/dfl_loss,lr/pg1,val_batch2_labels,val_batch2_pred,train/box_loss,train_batch3330,train_batch3331,val_batch1_labels,results,curves/Precision-Recall(B)_table,lr/pg2,curves/Precision-Confidence(B)_table,val/box_loss,metrics/recall(B),curves/Recall-Confidence(B)_table,R_curve,metrics/mAP50-95(B),val_batch1_pred,model/speed_PyTorch(ms),train_batch3332,variant,seed,run_name,epoch
,50,,0.60655,1780035331.2562423,,,,,1.56397,0.62129,,,,1.75954,,,,,747.776799077,,1.43854,0.0002602741628718368,1.96819,0.0002602741628718368,,,1.50215,,,,,,0.0002602741628718368,,1.65309,0.58891,,,0.33162,,,,distill,1337,distill_seed1337,50
,51,,0.64644,1780035345.6608064,,,,,1.46906,0.66271,,,,1.74,,,,,764.758444357,,1.44607,0.00025250000000000007,1.95661,0.00025250000000000007,,,1.48221,,,,,,0.00025250000000000007,,1.61873,0.60296,,,0.35414,,,,distill,1337,distill_seed1337,51
,52,,0.65034,1780035361.067737,,,,,1.43783,0.69003,,,,1.73942,,,,,777.324780168,,1.44455,0.0002447258371281633,1.91552,0.0002447258371281633,,,1.49124,,,,,,0.0002447258371281633,,1.59239,0.59949,,,0.3593,,,,distill,1337,distill_seed1337,52
,53,,0.64722,1780035373.4494495,,,,,1.48516,0.65999,,,,1.72941,,,,,790.063719425,,1.42561,0.0002369593464164949,1.92916,0.0002369593464164949,,,1.47904,,,,,,0.0002369593464164949,,1.62108,0.58548,,,0.35716,,,,distill,1337,distill_seed1337,53
,54,,0.64606,1780035386.8635132,,,,,1.44946,0.67549,,,,1.73843,,,,,803.648900599,,1.41894,0.0002292081924536677,1.9176,0.0002292081924536677,,,1.49152,,,,,,0.0002292081924536677,,1.59855,0.60217,,,0.36037,,,,distill,1337,distill_seed1337,54
,55,,0.63251,1780035399.9756346,,,,,1.49871,0.65097,,,,1.72641,,,,,816.309036479,,1.41447,0.0002214800246928347,1.93026,0.0002214800246928347,,,1.46397,,,,,,0.0002214800246928347,,1.60869,0.58817,,,0.3484,,,,distill,1337,distill_seed1337,55
,56,,0.64003,1780035414.1303298,,,,,1.47595,0.68978,,,,1.73318,,,,,830.747245203,,1.42383,0.0002137824699025429,1.91027,0.0002137824699025429,,,1.48418,,,,,,0.0002137824699025429,,1.58425,0.5746,,,0.36162,,,,distill,1337,distill_seed1337,56
,57,,0.65347,1780035427.9423566,,,,,1.4385,0.66325,,,,1.72101,,,,,844.7515258,,1.40756,0.0002061231246400332,1.92363,0.0002061231246400332,,,1.46283,,,,,,0.0002061231246400332,,1.59499,0.59699,,,0.37388,,,,distill,1337,distill_seed1337,57
,58,,0.65134,1780035440.6628501,,,,,1.41329,0.66531,,,,1.71652,,,,,857.240803294,,1.38098,0.00019850954775435582,1.93095,0.00019850954775435582,,,1.45361,,,,,,0.00019850954775435582,,1.60587,0.60481,,,0.3632,,,,distill,1337,distill_seed1337,58
,59,,0.65624,1780035453.1259348,,,,,1.40526,0.67456,,,,1.70344,,,,,869.735162249,,1.38134,0.00019094925292669846,1.91967,0.00019094925292669846,,,1.45483,,,,,,0.00019094925292669846,,1.59892,0.60692,,,0.37201,,,,distill,1337,distill_seed1337,59
