results,val/dfl_loss,curves/Recall-Confidence(B)_table,train_batch6570,F1_curve,curves/Precision-Confidence(B)_table,val_batch1_pred,metrics/mAP50-95(B),train/cls_loss,model/GFLOPs,train_batch6572,P_curve,lr/pg1,PR_curve,train_batch1,val/cls_loss,val_batch0_pred,metrics/precision(B),lr/pg2,R_curve,_step,_runtime,curves/Precision-Recall(B)_table,metrics/recall(B),labels,train/box_loss,train_batch0,train/dfl_loss,confusion_matrix,val_batch1_labels,val_batch2_labels,_timestamp,train_batch2,model/speed_PyTorch(ms),confusion_matrix_normalized,val_batch2_pred,metrics/mAP50(B),model/parameters,lr/pg0,val_batch0_labels,curves/F1-Confidence(B)_table,val/box_loss,train_batch6571,variant,seed,run_name,epoch
,7.20906,,,,,,0.40769,1.10294,,,,0.0002447258371281633,,,1.19926,,0.6908,0.0002447258371281633,,52,1819.414693571,,0.64718,,4.50786,,5.55393,,,,1780010624.0097866,,,,,0.68953,,0.0002447258371281633,,,5.96208,,sizeaware,42,sizeaware_seed42,52
,7.19443,,,,,,0.41157,1.04782,,,,0.0002369593464164949,,,1.20793,,0.71567,0.0002369593464164949,,53,1854.477518895,,0.62925,,4.37197,,5.48242,,,,1780010657.8338535,,,,,0.69466,,0.0002369593464164949,,,5.90965,,sizeaware,42,sizeaware_seed42,53
,7.03785,,,,,,0.41403,1.03877,,,,0.0002292081924536677,,,1.17278,,0.67977,0.0002292081924536677,,54,1889.457365158,,0.65019,,4.35843,,5.44916,,,,1780010693.9499102,,,,,0.69179,,0.0002292081924536677,,,5.84425,,sizeaware,42,sizeaware_seed42,54
,7.10099,,,,,,0.41387,1.01891,,,,0.0002214800246928347,,,1.18684,,0.71593,0.0002214800246928347,,55,1922.839959503,,0.64303,,4.34231,,5.42641,,,,1780010727.759412,,,,,0.70488,,0.0002214800246928347,,,5.91662,,sizeaware,42,sizeaware_seed42,55
,7.14484,,,,,,0.41569,1.02146,,,,0.0002137824699025429,,,1.17326,,0.73031,0.0002137824699025429,,56,1956.253201513,,0.63955,,4.22831,,5.41783,,,,1780010761.1542132,,,,,0.70787,,0.0002137824699025429,,,5.94287,,sizeaware,42,sizeaware_seed42,56
,7.21688,,,,,,0.40941,1.00337,,,,0.0002061231246400332,,,1.20766,,0.71625,0.0002061231246400332,,57,1989.644190871,,0.63724,,4.2158,,5.39068,,,,1780010794.487807,,,,,0.70042,,0.0002061231246400332,,,5.98116,,sizeaware,42,sizeaware_seed42,57
,7.14509,,,,,,0.41785,0.98696,,,,0.00019850954775435582,,,1.17873,,0.72992,0.00019850954775435582,,58,2024.132977591,,0.63963,,4.2189,,5.31794,,,,1780010829.067453,,,,,0.70011,,0.00019850954775435582,,,5.92342,,sizeaware,42,sizeaware_seed42,58
,7.25854,,,,,,0.42062,0.95583,,,,0.00019094925292669846,,,1.12778,,0.74481,0.00019094925292669846,,59,2059.926910055,,0.63769,,4.15229,,5.31536,,,,1780010862.3534243,,,,,0.70683,,0.00019094925292669846,,,6.01263,,sizeaware,42,sizeaware_seed42,59
,7.30043,,,,,,0.41312,0.95587,,,,0.0001834497012552908,,,1.18637,,0.73172,0.0001834497012552908,,60,2093.361220449,,0.65026,,4.12345,,5.31175,,,,1780010898.1837776,,,,,0.70425,,0.0001834497012552908,,,5.99646,,sizeaware,42,sizeaware_seed42,60
,7.36229,,,,,,0.40928,0.98663,,,,0.00017601829389220065,,,1.19571,,0.68876,0.00017601829389220065,,61,2127.205078811,,0.65255,,4.14169,,5.40617,,,,1780010931.6209106,,,,,0.69332,,0.00017601829389220065,,,5.99555,,sizeaware,42,sizeaware_seed42,61
,7.28397,,,,,,0.41305,0.95302,,,,0.00016866236473929043,,,1.1857,,0.70064,0.00016866236473929043,,62,2160.954060194,,0.64288,,4.03384,,5.25034,,,,1780010965.5015628,,,,,0.69928,,0.00016866236473929043,,,5.99661,,sizeaware,42,sizeaware_seed42,62
