train_batch2,train/dfl_loss,PR_curve,val/dfl_loss,val_batch2_pred,train_batch1,F1_curve,lr/pg0,metrics/mAP50-95(B),model/parameters,train/box_loss,val_batch0_labels,val_batch2_labels,_step,results,R_curve,_runtime,labels,_timestamp,metrics/recall(B),model/speed_PyTorch(ms),curves/Precision-Confidence(B)_table,confusion_matrix,metrics/mAP50(B),lr/pg2,val/box_loss,curves/F1-Confidence(B)_table,lr/pg1,curves/Recall-Confidence(B)_table,model/GFLOPs,val_batch1_pred,metrics/precision(B),confusion_matrix_normalized,train/cls_loss,val_batch0_pred,curves/Precision-Recall(B)_table,train_batch0,P_curve,val_batch1_labels,val/cls_loss,variant,seed,run_name,epoch
,1.73166,,2.28504,,,,0.0002680406535835051,0.41003,,1.13382,,,49,,,2420.506831122,,1779998031.9579196,0.65842,,,,0.69821,0.0002680406535835051,1.54516,,0.0002680406535835051,,,,0.70996,,0.93259,,,,,,1.24147,p2,42,p2_seed42,49
,1.7224,,2.27394,,,,0.0002602741628718368,0.40946,,1.12879,,,50,,,2467.639994476,,1779998079.0862007,0.66664,,,,0.69371,0.0002602741628718368,1.54489,,0.0002602741628718368,,,,0.69859,,0.93288,,,,,,1.23635,p2,42,p2_seed42,50
,1.72189,,2.29629,,,,0.00025250000000000007,0.39911,,1.11139,,,51,,,2514.895729514,,1779998126.265252,0.65189,,,,0.69498,0.00025250000000000007,1.56429,,0.00025250000000000007,,,,0.73573,,0.924,,,,,,1.21182,p2,42,p2_seed42,51
,1.70984,,2.32915,,,,0.0002447258371281633,0.40078,,1.11236,,,52,,,2562.013337125,,1779998173.4994488,0.6581,,,,0.69426,0.0002447258371281633,1.55354,,0.0002447258371281633,,,,0.70571,,0.91436,,,,,,1.27255,p2,42,p2_seed42,52
,1.68597,,2.32443,,,,0.0002369593464164949,0.405,,1.08101,,,53,,,2609.026721227,,1779998220.5823593,0.66904,,,,0.69678,0.0002369593464164949,1.54558,,0.0002369593464164949,,,,0.71157,,0.87903,,,,,,1.21184,p2,42,p2_seed42,53
,1.69499,,2.31437,,,,0.0002292081924536677,0.41255,,1.0894,,,54,,,2656.684118249,,1779998267.6874774,0.66645,,,,0.70476,0.0002292081924536677,1.54465,,0.0002292081924536677,,,,0.71649,,0.87876,,,,,,1.20292,p2,42,p2_seed42,54
,1.67819,,2.31345,,,,0.0002214800246928347,0.41055,,1.07418,,,55,,,2705.551933629,,1779998316.719376,0.68294,,,,0.70772,0.0002214800246928347,1.56622,,0.0002214800246928347,,,,0.69151,,0.86107,,,,,,1.2027,p2,42,p2_seed42,55
,1.65368,,2.28117,,,,0.0002137824699025429,0.41488,,1.04336,,,56,,,2752.637346136,,1779998364.2523234,0.64574,,,,0.71177,0.0002137824699025429,1.53489,,0.0002137824699025429,,,,0.75186,,0.85368,,,,,,1.16798,p2,42,p2_seed42,56
,1.65885,,2.30085,,,,0.0002061231246400332,0.42317,,1.0465,,,57,,,2801.064146857,,1779998412.2504802,0.66365,,,,0.70777,0.0002061231246400332,1.53585,,0.0002061231246400332,,,,0.71955,,0.85258,,,,,,1.18427,p2,42,p2_seed42,57
,1.62792,,2.31547,,,,0.00019850954775435582,0.41292,,1.03084,,,58,,,2848.076301415,,1779998459.683048,0.67383,,,,0.69774,0.00019850954775435582,1.54617,,0.00019850954775435582,,,,0.70165,,0.83074,,,,,,1.19651,p2,42,p2_seed42,58
